IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,19.53,,,18.64,,20.47,19.53 [18.64-20.47],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,19.57,,,18.09,,21.11,19.57 [18.09-21.11],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,19.97,,,18.59,,21.38,19.97 [18.59-21.38],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,20.2,,,18.3,,22.05,20.20 [18.30-22.05],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,20.71,,,20.13,,21.35,20.71 [20.13-21.35],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BGR,Bulgaria,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,21.82,,,20.73,,23.35,21.82 [20.73-23.35],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BGR,Bulgaria,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,21.94,,,21.11,,22.9,21.94 [21.11-22.90],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BGR,Bulgaria,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,22.06,,,20.98,,23.1,22.06 [20.98-23.10],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,23.22,,,21.5,,24.6,23.22 [21.50-24.60],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,23.28,,,21.49,,24.85,23.28 [21.49-24.85],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.29,,,22.05,,24.59,23.29 [22.05-24.59],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.32,,,22.13,,24.7,23.32 [22.13-24.70],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,23.35,,,22.88,,23.95,23.35 [22.88-23.95],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.82,,,23.34,,24.45,23.82 [23.34-24.45],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,24.39,,,23.74,,25.03,24.39 [23.74-25.03],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SRB,Serbia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,24.88,,,22.6,,26.87,24.88 [22.60-26.87],,,EN,2022-08-11T22:00:00.000Z
